gnode_lon,gnode_lat,gnode_name
-4.34927,55.91525,DRUM
-3.58727,55.90659,DRCR
-2.97692,56.46279,DUDH
-2.5738,55.97735,DUNBDM
-3.43515,58.2659,DUBEDM
-3.44925,56.08958,DUNF
-4.94718,55.97589,DUNODM
-6.539629,57.432716,DUGRDM
-2.19039,57.21571,DYCEDW
-4.1933,55.78534,EKILDW
-4.16324,55.74056,EKISDW
-4.07549,55.87962,EERH
-2.32746,55.66835,ECCLDW
-4.4649,55.84061,ELDE
-3.32082,57.66528,ELGIDW
-4.46038,55.90378,ERSKDW
-4.78887,57.32867,FASN
-2.30061,56.92444,FIDDDW
-2.02347,57.68654,FRAS
-4.71988,57.13696,FAUG
-5.07878,56.82035,FWIL
-2.77145,55.61037,GALADW
-4.29982,55.79869,GIFFDW
-3.017255,56.481073,GLAG
-3.27111,56.11106,GLNIDW
-4.80802,54.88189,GLLUDW
-3.20078,56.20701,GLRO
-3.23676,55.93637,GORG
-4.31621,55.8551,GOVA
-4.83126,57.6198,GRUBDM
-4.29678,55.82997,HAGR
-2.80204,55.43296,HAWI
-4.70904,56.02378,HELE
-4.88846,55.72213,HUNF
-3.39001,56.04232,INKE
-4.241401893,57.45202908,INNEDM
-4.50591,55.845,JOHN
-3.16337,55.89156,KAIMDW
-2.93876,57.54023,KEITDW
-4.32819,56.47715,KIINDM
-4.30908,55.9035,KIER
-4.436878,55.575958,KILS
-4.49547,55.59783,KILT
-4.68013,55.66523,KILWDM
-4.95423,56.71451,KILODM
-2.38083,57.21887,KINTDW
-4.41468,58.02921,LAIRDW
-3.03869,56.19874,LEVEDW
-3.82656,55.67157,LINMDW
-3.49274,55.88266,LINGDW
-2.86444,56.65499,LUNA
-3.01961,56.48132,LYND
-4.677001696,55.33702251,MAYBDM
-2.9269,56.47486,MILCDW
-3.84607,57.57694,NAIR
-3.94613,55.8248,NEAR
-4.491001462,54.9484212,NETSDM
-4.41366,55.84013,PAIS
-4.31639,55.87028,PART
-1.799532,57.473556,PEHS
-2.13725,57.17446,PERS
-1.80472,57.50944,PEHGDW
-5.35575,56.02837,PORADW
-4.2542,55.87342,PORD
-3.12399,55.95296,POOBDW
-4.41004,56.69217,RANNDM
-3.145308,56.145533,RAVE
-3.14501,56.14562,REDHDW
-2.09243,57.10803,REDM
-4.41232,57.94389,SHINDW
-3.18531,55.96433,SHRU
-3.3046,55.92867,SIGH
-4.73054,56.24514,SLOY
-4.81425,55.93664,SPAV
